no,estado
/bt_navigator,active
/bt_navigator_navigate_to_pose_rclcpp_node,presente_sem_parametros
/collision_monitor,active
/compensador_rumo,responde
/controller_manager,responde
/controller_server,active
/freeze_capture,responde
/global_costmap/global_costmap,active
/gz_ros_control,responde
/heading_controller,responde
/hoverboard_base_controller,responde
/joint_state_broadcaster,responde
/lifecycle_manager_pilha,responde
/local_costmap/local_costmap,active
/map_server,active
/path_follower,responde
/placa_simulada,responde
/planner_server,active
/robot_state_publisher,responde
/ros_gz_bridge,responde
/rosbag2_recorder,responde
/rviz2,responde
/scan_2d,responde
/smoother_server,active
/tf_map_odom,responde
/transform_listener_impl_606e3a459d20,presente_sem_parametros
/transform_listener_impl_6139d82445c0,presente_sem_parametros
/transform_listener_impl_61f7b140ed30,presente_sem_parametros
/transform_listener_impl_62787190faf0,presente_sem_parametros
/twist_mux,responde
